iter	Logloss
0	0.6202269117
1	0.5625804763
2	0.5294456681
3	0.5066441938
4	0.4865752651
5	0.4657120518
6	0.4380376682
7	0.4190964256
8	0.408810563
9	0.3987653232
10	0.3834766945
11	0.370525357
12	0.360686632
13	0.3531589171
14	0.346777003
15	0.3420902454
16	0.3378938757
17	0.3328829645
18	0.3278875165
19	0.3245384174
20	0.3193771381
21	0.3131324198
22	0.3099646787
23	0.3078866765
24	0.3045135448
25	0.3015730633
26	0.2975029866
27	0.2892721541
28	0.2872231904
29	0.2827143758
30	0.2808775903
31	0.2779736138
32	0.2759102687
33	0.2744639015
34	0.2728788537
35	0.2717522705
36	0.2687949683
37	0.2658430751
38	0.2644006744
39	0.2634927813
40	0.2623625285
41	0.2609805805
42	0.2602696359
43	0.2594995113
44	0.2586108358
45	0.2575735953
46	0.256577505
47	0.2549859665
48	0.2542344019
49	0.2533790285
50	0.2526376666
51	0.2518665663
52	0.2504097206
53	0.2497559197
54	0.2481201553
55	0.2464914755
56	0.2453382719
57	0.2448422631
58	0.2435764902
59	0.2429845844
60	0.2422682945
61	0.2417656676
62	0.2411349236
63	0.2394705449
64	0.2379391833
65	0.2372795705
66	0.2363783166
67	0.2358158523
68	0.235143364
69	0.2336672795
70	0.2324725227
71	0.2318120613
72	0.2306849266
73	0.2289723979
74	0.2283479325
75	0.2279688412
76	0.2275497027
77	0.2269114074
78	0.2262936023
79	0.2255766124
80	0.2248991183
81	0.2238472418
82	0.2234926286
83	0.222625207
84	0.2219333315
85	0.2214541009
86	0.2209794096
87	0.219795916
88	0.2192553207
89	0.2187458426
90	0.2181940263
91	0.2176641216
92	0.2165819764
93	0.2161142212
94	0.2157661835
95	0.2148953257
96	0.2142119772
97	0.2134872875
98	0.213173167
99	0.2126591708
100	0.2121224572
101	0.2115329694
102	0.2107063375
103	0.2101869748
104	0.2098280132
105	0.2092725486
106	0.2086226294
107	0.2081205329
108	0.2076361903
109	0.2071358331
110	0.2067028647
111	0.206261539
112	0.2058026502
113	0.20535284
114	0.2047339319
115	0.2041499591
116	0.2029282849
117	0.2023343639
118	0.201931834
119	0.2014025656
120	0.2004851062
121	0.2000523287
122	0.1993750255
123	0.199127424
124	0.1985531873
125	0.1979953046
126	0.1975981624
127	0.1968439252
128	0.196355807
129	0.1960009605
130	0.1955270964
131	0.1950185091
132	0.1944747533
133	0.1939153221
134	0.1935114983
135	0.1929109169
136	0.1924291198
137	0.1914053697
138	0.1909645531
139	0.190349357
140	0.1898337488
141	0.1893288523
142	0.1889803056
143	0.1884371861
144	0.1878992846
145	0.1875964697
146	0.1866524324
147	0.1857844169
148	0.1852576514
149	0.1845652244
150	0.1838793305
151	0.1832936396
152	0.1828883734
153	0.1825060792
154	0.181775111
155	0.1814755627
156	0.1811531909
157	0.1804900357
158	0.1799959359
159	0.1796508678
160	0.1791019151
161	0.1787677922
162	0.1781973311
163	0.1774405909
164	0.1768741918
165	0.1763052898
166	0.1758591067
167	0.1752164736
168	0.1746206542
169	0.174180283
170	0.1737581961
171	0.1734274352
172	0.1728799673
173	0.1724078744
174	0.1722154228
175	0.1718409026
176	0.1712983027
177	0.1704713951
178	0.1699631048
179	0.169447645
180	0.1689119389
181	0.1684735722
182	0.168076727
183	0.1677419464
184	0.1672648264
185	0.1665370293
186	0.1660225558
187	0.165910029
188	0.1650992421
189	0.1646401306
190	0.1639168939
191	0.1635208123
192	0.1630727837
193	0.1624807612
194	0.1621396172
195	0.161806014
196	0.1610513525
197	0.1605618874
198	0.1599717951
199	0.1595991627
200	0.1591114051
201	0.1587354532
202	0.1582144678
203	0.1579033063
204	0.1572106778
205	0.1568639976
206	0.1564527604
207	0.1559954518
208	0.1556552624
209	0.1550750334
210	0.1546278746
211	0.1543406926
212	0.1539231661
213	0.1536420718
214	0.1533008006
215	0.1529424117
216	0.1525783594
217	0.1522102663
218	0.1518781478
219	0.151710853
220	0.1513143895
221	0.1508143293
222	0.150316878
223	0.149856356
224	0.1494804146
225	0.1491023203
226	0.1486779744
227	0.1480495954
228	0.1476888414
229	0.1473449081
230	0.1467487069
231	0.1464872332
232	0.1460837912
233	0.1456103938
234	0.1453534805
235	0.1450961961
236	0.1448493477
237	0.144641189
238	0.1441880803
239	0.1438615723
240	0.1435720146
241	0.1432991079
242	0.1428739772
243	0.142355113
244	0.1418057149
245	0.1410613198
246	0.1407899828
247	0.1402178672
248	0.1399124964
249	0.1395275083
250	0.1391553002
251	0.1389347434
252	0.1386757938
253	0.1384201533
254	0.1381485935
255	0.1378684643
256	0.1375254113
257	0.137282031
258	0.1370633832
259	0.1365876526
260	0.1363315135
261	0.1360516177
262	0.1356385032
263	0.1352873156
264	0.1350554213
265	0.1347741997
266	0.1344576293
267	0.1339572721
268	0.1336109101
269	0.1332398686
270	0.1329767828
271	0.1325947431
272	0.1323131503
273	0.1319990828
274	0.1317043177
275	0.1312661843
276	0.1309866385
277	0.130747405
278	0.1303862162
279	0.1300672064
280	0.1297747427
281	0.129466116
282	0.1291778946
283	0.128868483
284	0.12862313
285	0.1282687289
286	0.1280411511
287	0.1276821259
288	0.1273844972
289	0.1270380292
290	0.1267863446
291	0.1263998929
292	0.1261406782
293	0.1259404951
294	0.1256066584
295	0.125461922
296	0.125183861
297	0.1246850098
298	0.124459691
299	0.1240453887
