id,team,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goals_per_game,goals_against_per_game,goal_differential,shots_for,shots_against,shots_per_game,shots_against_per_game,pp_goals,pp_opportunities,pp_pct,pk_goals_against,pk_opportunities,pk_pct,faceoff_wins,faceoff_total,faceoff_pct,ot_wins,so_wins,so_losses,ot_game_pct,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,current_streak,last_10_record,division,conference,division_rank,conference_rank,league_rank,created_at
84,NJD,20192020,76,33,31,12,78,0.5131578947368421,209,247,2.75,3.25,-38,2314,2489,30.44736842105263,32.75,0,0,0.0,0,0,0.0,0,0,0.0,7,0,0,0.0,16,0,0,17,0,0,,,,,,,,2026-02-24 17:47:19
89,NSH,20192020,80,42,29,9,93,0.58125,246,242,3.075,3.025,4,2679,2473,33.4875,30.9125,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,22,0,0,20,0,0,,,,,,,,2026-02-24 17:47:19
94,NYI,20192020,98,54,30,14,122,0.6224489795918368,281,262,2.86734693877551,2.673469387755102,19,2920,2968,29.79591836734694,30.285714285714285,0,0,0.0,0,0,0.0,0,0,0.0,16,0,0,0.0,29,0,0,25,0,0,,,,,,,,2026-02-24 17:47:19
99,NYR,20192020,80,39,36,5,83,0.51875,252,253,3.15,3.1625,-1,2457,2698,30.7125,33.725,0,0,0.0,0,0,0.0,0,0,0.0,7,0,0,0.0,20,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
104,OTT,20192020,77,28,36,13,69,0.44805194805194803,211,263,2.74025974025974,3.4155844155844157,-52,2358,2594,30.623376623376622,33.688311688311686,0,0,0.0,0,0,0.0,0,0,0.0,7,0,0,0.0,19,0,0,9,0,0,,,,,,,,2026-02-24 17:47:19
109,PHI,20192020,93,53,30,10,116,0.6236559139784946,288,258,3.096774193548387,2.774193548387097,30,2803,2653,30.13978494623656,28.526881720430108,0,0,0.0,0,0,0.0,0,0,0.0,14,0,0,0.0,31,0,0,22,0,0,,,,,,,,2026-02-24 17:47:19
114,PIT,20192020,80,43,26,11,97,0.60625,251,226,3.1375,2.825,25,2546,2368,31.825,29.6,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,26,0,0,17,0,0,,,,,,,,2026-02-24 17:47:19
123,SJS,20192020,76,30,41,5,65,0.4276315789473684,196,249,2.5789473684210527,3.276315789473684,-53,2283,2310,30.039473684210527,30.394736842105264,0,0,0.0,0,0,0.0,0,0,0.0,7,0,0,0.0,18,0,0,12,0,0,,,,,,,,2026-02-24 17:47:19
128,STL,20192020,88,48,28,12,108,0.6136363636363636,266,247,3.022727272727273,2.8068181818181817,19,2705,2585,30.738636363636363,29.375,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,25,0,0,23,0,0,,,,,,,,2026-02-24 17:47:19
133,TBL,20192020,103,64,29,10,138,0.6699029126213593,342,272,3.320388349514563,2.6407766990291264,70,3251,3154,31.563106796116504,30.62135922330097,0,0,0.0,0,0,0.0,0,0,0.0,15,0,0,0.0,31,0,0,33,0,0,,,,,,,,2026-02-24 17:47:19
138,TOR,20192020,84,44,30,10,98,0.5833333333333334,277,256,3.2976190476190474,3.0476190476190474,21,2788,2629,33.19047619047619,31.297619047619047,0,0,0.0,0,0,0.0,0,0,0.0,10,0,0,0.0,22,0,0,22,0,0,,,,,,,,2026-02-24 17:47:19
143,VAN,20192020,95,50,38,7,107,0.5631578947368421,308,296,3.2421052631578946,3.1157894736842104,12,2884,3236,30.357894736842105,34.06315789473684,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,27,0,0,23,0,0,,,,,,,,2026-02-24 17:47:19
148,VGK,20192020,99,57,32,10,124,0.6262626262626263,313,269,3.1616161616161618,2.717171717171717,44,3405,2814,34.39393939393939,28.424242424242426,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,31,0,0,26,0,0,,,,,,,,2026-02-24 17:47:19
153,WPG,20192020,83,42,34,7,91,0.5481927710843374,245,239,2.9518072289156625,2.8795180722891565,6,2552,2672,30.746987951807228,32.19277108433735,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,23,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
158,WSH,20192020,84,49,25,10,108,0.6428571428571429,279,255,3.3214285714285716,3.0357142857142856,24,2588,2477,30.80952380952381,29.488095238095237,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,23,0,0,26,0,0,,,,,,,,2026-02-24 17:47:19
2,ANA,20202021,56,17,30,9,43,0.38392857142857145,126,179,2.25,3.1964285714285716,-53,1500,1712,26.785714285714285,30.571428571428573,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,6,0,0,11,0,0,,,,,,,,2026-02-24 17:47:19
7,ARI,20202021,56,24,26,6,54,0.48214285714285715,153,176,2.732142857142857,3.142857142857143,-23,1538,1706,27.464285714285715,30.464285714285715,0,0,0.0,0,0,0.0,0,0,0.0,5,0,0,0.0,12,0,0,12,0,0,,,,,,,,2026-02-24 17:47:19
12,BOS,20202021,67,39,19,9,87,0.6492537313432836,201,168,3.0,2.5074626865671643,33,2260,1857,33.73134328358209,27.71641791044776,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,21,0,0,18,0,0,,,,,,,,2026-02-24 17:47:19
17,BUF,20202021,56,15,34,7,37,0.33035714285714285,138,199,2.4642857142857144,3.5535714285714284,-61,1592,1889,28.428571428571427,33.732142857142854,0,0,0.0,0,0,0.0,0,0,0.0,4,0,0,0.0,8,0,0,7,0,0,,,,,,,,2026-02-24 17:47:19
22,CAR,20202021,67,41,16,10,92,0.6865671641791045,210,166,3.1343283582089554,2.4776119402985075,44,2199,1919,32.82089552238806,28.64179104477612,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,23,0,0,18,0,0,,,,,,,,2026-02-24 17:47:19
27,CBJ,20202021,56,18,26,12,48,0.42857142857142855,137,187,2.4464285714285716,3.3392857142857144,-50,1625,1815,29.017857142857142,32.410714285714285,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,11,0,0,7,0,0,,,,,,,,2026-02-24 17:47:19
32,CGY,20202021,56,26,27,3,55,0.49107142857142855,156,161,2.7857142857142856,2.875,-5,1689,1577,30.160714285714285,28.160714285714285,0,0,0.0,0,0,0.0,0,0,0.0,4,0,0,0.0,15,0,0,11,0,0,,,,,,,,2026-02-24 17:47:19
37,CHI,20202021,56,24,25,7,55,0.49107142857142855,161,186,2.875,3.3214285714285716,-25,1635,1888,29.196428571428573,33.714285714285715,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,13,0,0,11,0,0,,,,,,,,2026-02-24 17:47:19
42,COL,20202021,66,45,16,5,95,0.7196969696969697,235,160,3.5606060606060606,2.4242424242424243,75,2245,1725,34.015151515151516,26.136363636363637,0,0,0.0,0,0,0.0,0,0,0.0,5,0,0,0.0,26,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
